playerID,name
6559,Emanuel Ercolano
6562,Aaron Herzog
6563,Nya Kirby
6564,Dorian Grange
6565,Andoni Zubiaurre
6566,Antonio Montoro
6571,Marcel Lizak
6574,Gabriel Salazar
6579,Vladimir Sugrobov
6581,Islam Zhilov
6584,Nikita Goldobin
6588,Dmytro Khomchenovsky
6594,Marlon Sündermann
6620,Diego Cavalieri
6621,Jaroslaw Jach
6622,Egor Sedov
6624,Karlo Butic
6625,Efkan Bekiroglu
6627,Vincent Peugnet
6629,Eduardo Frías
6631,Giacomo Figliuzzi
6632,Sergei Eremenko
6634,Seo Young-Jae
6639,Tiago Dias
6640,Luka Markovic
6641,Lorenzo Valeau
6643,Francisco Vieites
6645,Akishin Aleksandrovich
6647,Luis Ndreu
6650,Josh Pask
6652,Ali Gabr
6653,Dani Sotres
6660,Juan Agüero
6661,Thomas Candeloro
6662,Nicola Borghetto
6663,Ilya Gilyazutdinov
6664,Conor Masterson
6668,James Daly
6670,Giacomo Boccafoglia
6676,Christ Kouadio
6677,Leonid Mironov
6679,Maurice Malone
6682,Clément Billemaz
6683,Duplex Tchamba Bangou
6684,Kazaiah Sterling
6685,Salvatore Elia
6687,Over Mandanda
6690,Joseph Tetteh
6692,Enrico Del Prato
6693,Aleksandr Sheplyakov
6694,Ángel López
6695,Gabriele Gori
6700,Víctor Pastrana
6702,Makan Macalou
6703,Maxime Sivis
6705,Ivan Tarasov
6713,Samuel Robert
6714,Corentin Faussot
6715,Adrien Bongiovanni
6717,Thomas Bolis
6721,Alex Dos Santos
6724,Yuning Zhang
6725,Erick Ferigra
6726,Daniel Rebollo
6728,Niclas Stierlin
6729,Sam Hughes
6731,Ioritz Landeta
6732,Gabriel Barbosa
6735,Safwan Mbae
6737,Maxime Bernauer
6741,Pape Mbodji
6742,Nikita Repin
6743,William De Camargo
6744,Luismi Quezada
6746,Jonathan Meier
6748,Vincenzo Pinto
6751,Raphaël Adiceam
6752,Theo Barbet
6754,Pio Francesco Russo
6755,Layton Ndukwu
6758,Lorenzo Peli
6761,Aritz Castro
6764,Quique Fornos
6765,Víctor San Bartolomé
6767,Cristian Mutton
6768,Vitja Valencic
6801,Alexey Mironov
6808,Georgi Kyrnats
6809,Vitali Zhironkin
6811,Timur Pukhov
6812,Sergei Eschenko
6813,Alexander Krikunenko
6832,Alex Smithies
6858,Bright Enobakhare
6871,Panagiotis Vlachodimos
6909,Issa Marega
6913,Èric Montes
6944,Antonio Perera
6968,Miguel Ángel Morro
6984,Michal Marcjanik
6988,Simone Aresti
6995,Fabrizio Bagheria
7017,Emmanuel Besea
7021,Hodei Oleaga
7027,Arijanet Muric
7066,Andreas Poulsen
7068,Tomasz Kucz
7087,Elia Caprile
7093,Rok Vodisek
7094,Ivan Lakicevic
7098,Gabriele Rolando
7102,Marc Vito
7110,Phillip Menzel
7111,Ryan Schofield
7112,Caio Vinicius
7114,Dorian Bertrand
7115,Yohan Bilingi
7124,Davide Bettella
7127,Alessandro D'Andrea
7130,Adil Mukhametzyanov
7139,Benjamin Leneis
7141,Felipe Pires
7156,Abdelmalik Hsissane
7159,Andrei Lupu
7162,Jannick Theissen
7168,Anthony Mancini
7170,Sam Schreck
7172,Erik Majetschak
7186,Juan Berrocal
7202,Artem Poplevchenkov
7204,Andrea Di Maggio
7205,Steven Sessegnon
7209,Ousseynou Ndiaye
7212,David Kopacz
7222,Mehdi Boudjemaa
7231,Zech Medley
7232,José Aurelio Suárez
7237,Matthew Connolly
7238,Joe Powell
7241,Diego Altamirano
7244,Antonio Pio Daniele
7248,Álex Domínguez
7249,Lazar Nikolic
7250,Kevin Mouanga
7252,Magomednabi Yagyayev
7253,Mikhail Yakovlev
